,activity_type,minutes,log_Id
209,lightly,0,60297116031
210,fairly,0,60297116031
211,very,16,60297116031
212,sedentary,0,60307060875
213,lightly,0,60307060875
214,fairly,0,60307060875
215,very,15,60307060875
216,sedentary,0,60384227137
217,lightly,0,60384227137
218,fairly,0,60384227137
219,very,15,60384227137
220,sedentary,0,60390628698
221,lightly,0,60390628698
222,fairly,0,60390628698
223,very,15,60390628698
224,sedentary,0,60464279925
225,lightly,0,60464279925
226,fairly,0,60464279925
227,very,15,60464279925
228,sedentary,2,60491676687
229,lightly,14,60491676687
230,fairly,0,60491676687
231,very,0,60491676687
232,sedentary,0,60502472739
233,lightly,0,60502472739
234,fairly,0,60502472739
235,very,15,60502472739
236,sedentary,1,60554484801
237,lightly,0,60554484801
238,fairly,3,60554484801
239,very,19,60554484801
240,sedentary,0,60541302376
241,lightly,0,60541302376
242,fairly,0,60541302376
243,very,16,60541302376
244,sedentary,0,60683448257
245,lightly,1,60683448257
246,fairly,0,60683448257
247,very,15,60683448257
248,sedentary,0,60730473761
249,lightly,15,60730473761
250,fairly,0,60730473761
251,very,0,60730473761
252,sedentary,0,60755613910
253,lightly,0,60755613910
254,fairly,0,60755613910
255,very,16,60755613910
256,sedentary,0,60789532986
257,lightly,0,60789532986
258,fairly,0,60789532986
259,very,15,60789532986
260,sedentary,0,60818714193
261,lightly,1,60818714193
262,fairly,12,60818714193
263,very,22,60818714193
264,sedentary,0,60866989537
265,lightly,0,60866989537
266,fairly,0,60866989537
267,very,16,60866989537
268,sedentary,0,60834895211
269,lightly,0,60834895211
270,fairly,0,60834895211
271,very,15,60834895211
272,sedentary,0,60939575917
273,lightly,1,60939575917
274,fairly,0,60939575917
275,very,15,60939575917
276,sedentary,0,61002757922
277,lightly,1,61002757922
278,fairly,0,61002757922
279,very,15,61002757922
280,sedentary,0,61031141854
281,lightly,1,61031141854
282,fairly,0,61031141854
283,very,15,61031141854
284,sedentary,0,61082671951
285,lightly,0,61082671951
286,fairly,0,61082671951
287,very,16,61082671951
288,sedentary,0,61094423599
289,lightly,0,61094423599
290,fairly,0,61094423599
291,very,17,61094423599
292,sedentary,0,61183950290
293,lightly,0,61183950290
294,fairly,0,61183950290
295,very,16,61183950290
296,sedentary,0,61244276688
297,lightly,0,61244276688
298,fairly,4,61244276688
299,very,21,61244276688
300,sedentary,5,61299774096
301,lightly,29,61299774096
302,fairly,0,61299774096
303,very,0,61299774096
304,sedentary,0,61304988607
305,lightly,18,61304988607
306,fairly,0,61304988607
307,very,0,61304988607
308,sedentary,0,61305707328
309,lightly,1,61305707328
310,fairly,18,61305707328
311,very,0,61305707328
312,sedentary,3,61327435156
313,lightly,43,61327435156
314,fairly,0,61327435156
315,very,0,61327435156
316,sedentary,0,61387410602
317,lightly,0,61387410602
318,fairly,0,61387410602
319,very,16,61387410602
320,sedentary,0,61433490440
321,lightly,0,61433490440
322,fairly,0,61433490440
323,very,14,61433490440
324,sedentary,0,61453215345
325,lightly,0,61453215345
326,fairly,0,61453215345
327,very,15,61453215345
328,sedentary,0,61507659691
329,lightly,1,61507659691
330,fairly,6,61507659691
331,very,11,61507659691
332,sedentary,0,61525969740
333,lightly,1,61525969740
334,fairly,6,61525969740
335,very,15,61525969740
336,sedentary,0,61533627190
337,lightly,0,61533627190
338,fairly,0,61533627190
339,very,15,61533627190
340,sedentary,0,61531170119
341,lightly,0,61531170119
342,fairly,0,61531170119
343,very,15,61531170119
